event_id,timestamp,session_id,source,event_type,severity,track_id,class_name,confidence,direction,counter_updated,count_in,count_out,line_orientation,line_position,frame_index,backend,model_path,confidence_threshold,snapshot_url,explanation,action_hint
6194002c-d,2026-06-16T10:34:51,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,31,person,0.7719,right,count_in,5,10,vertical,0.5,677,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781580891518.jpg,Track 31 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
c86b5411-c,2026-06-16T11:02:36,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.9136,right,count_in,6,10,vertical,0.5,817,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582556477.jpg,Track 66 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
5efc5dd0-5,2026-06-16T11:02:39,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8793,left,count_out,6,11,vertical,0.5,839,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582559527.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
8289fc82-3,2026-06-16T11:02:44,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.9267,right,count_in,7,11,vertical,0.5,875,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582564284.jpg,Track 66 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
94f65630-c,2026-06-16T11:02:46,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8988,left,count_out,7,12,vertical,0.5,893,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582566922.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
e63d5503-c,2026-06-16T11:02:49,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.915,right,count_in,8,12,vertical,0.5,911,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582569553.jpg,Track 66 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
6c4d3245-2,2026-06-16T11:02:52,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8726,left,count_out,8,13,vertical,0.5,930,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582572485.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
4604052c-b,2026-06-16T11:02:56,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.9002,left,count_out,8,14,vertical,0.5,954,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582576363.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
cb1d1bc6-c,2026-06-16T11:03:00,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8898,left,count_out,8,15,vertical,0.5,982,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582580859.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
9f0c09de-6,2026-06-16T11:03:06,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8922,left,count_out,8,16,vertical,0.5,1011,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582586094.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
e155a624-6,2026-06-16T11:03:10,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.9035,left,count_out,8,17,vertical,0.5,1036,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582590524.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
165ad971-a,2026-06-16T11:03:14,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,66,person,0.8926,left,count_out,8,18,vertical,0.5,1059,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582594299.jpg,Track 66 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
1ebe05df-a,2026-06-16T11:04:21,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8692,left,count_out,0,1,vertical,0.5,26,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582661582.jpg,Track 1 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
b4f3a30b-5,2026-06-16T11:04:23,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8472,right,count_in,1,1,vertical,0.5,40,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582663413.jpg,Track 1 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
c20808a9-4,2026-06-16T11:04:25,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8751,left,count_out,1,2,vertical,0.5,54,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582665301.jpg,Track 1 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
95b40f61-1,2026-06-16T11:04:26,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8897,right,count_in,2,2,vertical,0.5,66,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582666870.jpg,Track 1 (person) crossed the vertical line toward right.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
6072f11f-7,2026-06-16T11:04:28,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8369,left,count_out,2,3,vertical,0.5,78,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582668494.jpg,Track 1 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
df77f142-1,2026-06-16T11:04:37,station2_1781580542376,0,LINE_CROSSING_DETECTED,WARNING,1,person,0.8642,left,count_out,2,4,vertical,0.5,149,yolo_ultralytics,yolov8n.pt,0.35,/snapshots/crossing_station2_1781580542376_1781582677736.jpg,Track 1 (person) crossed the vertical line toward left.,Update occupancy/count dashboard; require rule validation before controlling an actuator.
